dataset,model,condition,bias,split,seed,rmse,mae,r2,pearson_r,train_model_type,train_n_train,train_best_epoch,train_best_val_loss,train_training_time_seconds,train_total_epochs
solubility,gnn,unbiased_scaffold,unbiased,scaffold,7,1.1432000133777558,0.817544948326792,0.7513585460027222,0.868033695538704,gnn,6866,95.0,0.9543892907032504,242.6172387599945,100.0
solubility,lgbm_morgan,scaffold_top10,scaffold,random,42,2.0707742159767797,1.6750533085789248,0.18417954040180728,0.5183295076576212,fingerprint,2101,,,,
solubility,lgbm_morgan,scaffold_top10,scaffold,random,123,2.059889741106332,1.6601194581993441,0.19273328820018998,0.5343984550330085,fingerprint,2101,,,,
solubility,lgbm_morgan,scaffold_top10,scaffold,random,7,2.0692070170776473,1.677508291865607,0.18541392810131596,0.5161699370321182,fingerprint,2101,,,,
solubility,lgbm_descriptors,scaffold_top10,scaffold,random,42,1.5977743056182678,1.1166407798889166,0.5143091064917222,0.7368123651498335,fingerprint,2101,,,,
solubility,lgbm_descriptors,scaffold_top10,scaffold,random,123,1.6381477136570113,1.1269664053020962,0.48945360366555013,0.7309537813206968,fingerprint,2101,,,,
solubility,lgbm_descriptors,scaffold_top10,scaffold,random,7,1.5512056962309722,1.085593319436827,0.5422083396929854,0.7516709711484102,fingerprint,2101,,,,
solubility,gnn,scaffold_top10,scaffold,random,42,1.6921470700489014,1.31287643647701,0.4552398790250668,0.7063898444842593,gnn,2101,85.0,0.47388323399641996,74.87229704856873,100.0
solubility,gnn,scaffold_top10,scaffold,random,123,1.7540878914550524,1.300683034343246,0.41462820053815874,0.6942755650505867,gnn,2101,58.0,0.7060649983361044,60.73146080970764,74.0
solubility,gnn,scaffold_top10,scaffold,random,7,1.6308169829881076,1.2012372382098717,0.4940127820957021,0.7128977217817737,gnn,2101,65.0,0.7471448828989856,59.315813302993774,81.0
solubility,lgbm_morgan,mw_narrow,property_range,random,42,1.7864255634259016,1.3991579928342917,0.3928458824634211,0.6298445737757226,fingerprint,3138,,,,
solubility,lgbm_morgan,mw_narrow,property_range,random,123,1.8014252564904596,1.415243070197518,0.38260715826687275,0.6218649527783093,fingerprint,3138,,,,
solubility,lgbm_morgan,mw_narrow,property_range,random,7,1.776215538296314,1.3912511006259318,0.3997662311947955,0.6364046288282906,fingerprint,3138,,,,
